"Geolocation","Fertilizer Grade","1996 January","1996 February","1996 March","1996 April","1996 May","1996 June","1996 July","1996 August","1996 September","1996 October","1996 November","1996 December","1996 Annual"
"....Rizal","Ammophos (16-20-0)",332.00,332.00,327.00,325.00,325.00,325.00,339.00,338.00,335.00,335.00,335.00,340.00,332.33
"....Rizal","Ammosul (21-0-0)",220.00,220.00,225.00,234.00,..,225.00,229.00,226.00,230.00,230.00,230.00,235.00,227.64
"....Rizal","Complete (14-14-14)",330.00,330.00,332.00,330.00,330.00,340.00,339.00,339.00,340.00,340.00,340.00,344.00,336.17
"....Rizal","Urea (45-0-0)",380.00,380.00,379.00,379.00,385.00,390.00,389.00,387.00,388.00,385.00,385.00,386.00,384.42
"..MIMAROPA REGION","Ammophos (16-20-0)",354.20,354.00,350.60,350.20,353.00,352.40,354.20,360.00,361.00,362.00,362.20,363.80,356.47
"..MIMAROPA REGION","Ammosul (21-0-0)",245.00,247.50,242.50,240.00,242.50,241.33,246.00,246.00,246.67,246.67,247.33,250.00,245.13
"..MIMAROPA REGION","Complete (14-14-14)",357.20,355.60,359.20,361.00,360.60,363.80,365.40,366.00,368.50,370.00,370.20,371.80,364.11
"..MIMAROPA REGION","Urea (45-0-0)",399.00,408.00,402.80,401.00,403.00,401.20,407.60,408.60,411.20,411.00,414.80,420.80,407.42
"....Marinduque","Ammophos (16-20-0)",380.00,380.00,380.00,380.00,380.00,380.00,380.00,380.00,380.00,380.00,381.00,389.00,380.83
"....Marinduque","Ammosul (21-0-0)",260.00,260.00,260.00,260.00,260.00,270.00,268.00,268.00,270.00,270.00,272.00,280.00,266.50
"....Marinduque","Complete (14-14-14)",380.00,380.00,380.00,380.00,380.00,380.00,380.00,380.00,380.00,380.00,381.00,389.00,380.83
"....Marinduque","Urea (45-0-0)",420.00,420.00,420.00,420.00,420.00,420.00,428.00,428.00,430.00,430.00,431.00,439.00,425.50
"....Occidental Mindoro","Ammophos (16-20-0)",365.00,360.00,328.00,320.00,320.00,322.00,328.00,330.00,330.00,330.00,330.00,330.00,332.75
"....Occidental Mindoro","Ammosul (21-0-0)",240.00,260.00,228.00,215.00,220.00,220.00,230.00,230.00,230.00,230.00,230.00,230.00,230.25
"....Occidental Mindoro","Complete (14-14-14)",373.00,360.00,352.00,345.00,350.00,350.00,350.00,350.00,360.00,360.00,360.00,360.00,355.83
"....Occidental Mindoro","Urea (45-0-0)",400.00,425.00,405.00,400.00,400.00,400.00,400.00,400.00,403.00,410.00,410.00,410.00,405.25
"....Oriental Mindoro","Ammophos (16-20-0)",340.00,340.00,340.00,336.00,350.00,345.00,345.00,345.00,345.00,350.00,350.00,350.00,344.67
"....Oriental Mindoro","Ammosul (21-0-0)",235.00,240.00,240.00,235.00,240.00,234.00,240.00,240.00,240.00,240.00,240.00,240.00,238.67
"....Oriental Mindoro","Complete (14-14-14)",343.00,343.00,342.00,340.00,345.00,349.00,350.00,350.00,352.50,360.00,360.00,360.00,349.54
"....Oriental Mindoro","Urea (45-0-0)",400.00,400.00,400.00,400.00,410.00,408.00,422.00,420.00,428.00,420.00,422.00,420.00,412.50
"....Palawan","Ammophos (16-20-0)",346.00,350.00,365.00,375.00,375.00,375.00,375.00,395.00,400.00,400.00,400.00,400.00,379.67
"....Palawan","Ammosul (21-0-0)",..,230.00,242.00,250.00,250.00,..,..,..,..,..,..,..,243.00
"....Palawan","Complete (14-14-14)",350.00,355.00,382.00,400.00,388.00,400.00,405.00,400.00,400.00,400.00,400.00,400.00,390.00
"....Palawan","Urea (45-0-0)",400.00,420.00,414.00,410.00,410.00,403.00,410.00,410.00,410.00,410.00,426.00,450.00,414.42
"....Romblon","Ammophos (16-20-0)",340.00,340.00,340.00,340.00,340.00,340.00,343.00,350.00,350.00,350.00,350.00,350.00,344.42
"....Romblon","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Romblon","Complete (14-14-14)",340.00,340.00,340.00,340.00,340.00,340.00,342.00,350.00,350.00,350.00,350.00,350.00,344.33
"....Romblon","Urea (45-0-0)",375.00,375.00,375.00,375.00,375.00,375.00,378.00,385.00,385.00,385.00,385.00,385.00,379.42
"..REGION V (BICOL REGION)","Ammophos (16-20-0)",342.50,342.50,346.00,349.50,348.75,348.75,352.25,359.00,359.75,358.60,358.40,358.00,352.00
"..REGION V (BICOL REGION)","Ammosul (21-0-0)",234.00,238.50,249.40,232.25,246.00,248.00,243.20,244.60,253.60,243.75,243.75,243.75,243.40
"..REGION V (BICOL REGION)","Complete (14-14-14)",349.50,349.83,350.17,346.67,354.33,353.33,354.33,360.00,354.00,349.80,353.60,355.00,352.55
"..REGION V (BICOL REGION)","Urea (45-0-0)",408.17,411.83,413.17,413.33,415.83,416.67,419.83,417.00,416.17,416.50,419.50,419.17,415.60
"....Albay","Ammophos (16-20-0)",340.00,340.00,348.00,365.00,350.00,350.00,350.00,354.00,355.00,355.00,355.00,355.00,351.42
"....Albay","Ammosul (21-0-0)",228.00,239.00,253.00,250.00,250.00,250.00,243.00,234.00,240.00,240.00,240.00,240.00,242.25
"....Albay","Complete (14-14-14)",365.00,365.00,362.00,333.00,363.00,353.00,360.00,367.00,350.00,350.00,352.00,350.00,355.83
"....Albay","Urea (45-0-0)",400.00,406.00,414.00,415.00,415.00,420.00,424.00,422.00,423.00,425.00,425.00,425.00,417.83
"....Camarines Norte","Ammophos (16-20-0)",360.00,350.00,356.00,353.00,360.00,360.00,365.00,368.00,365.00,358.00,354.00,360.00,359.08
"....Camarines Norte","Ammosul (21-0-0)",..,..,285.00,..,300.00,300.00,290.00,296.00,300.00,..,..,..,295.17
"....Camarines Norte","Complete (14-14-14)",355.00,350.00,354.00,354.00,365.00,363.00,355.00,364.00,367.50,364.00,364.00,365.00,360.04
