"Geolocation","Fertilizer Grade","2010 January","2010 February","2010 March","2010 April","2010 May","2010 June","2010 July","2010 August","2010 September","2010 October","2010 November","2010 December","2010 Annual"
"..MIMAROPA REGION","Ammophos (16-20-0)",1063.60,1063.44,1061.00,1060.60,1060.00,1051.00,1019.80,957.00,974.00,978.00,991.75,1014.25,1024.54
"..MIMAROPA REGION","Ammosul (21-0-0)",693.50,694.42,692.50,685.50,687.50,686.88,667.25,633.13,644.69,603.75,606.25,611.88,658.94
"..MIMAROPA REGION","Complete (14-14-14)",1167.00,1172.75,1175.00,1163.00,1162.00,1149.25,1109.40,1070.00,1082.00,1081.60,1024.87,1120.25,1123.09
"..MIMAROPA REGION","Urea (45-0-0)",1023.40,1035.00,1027.00,1016.68,1007.00,1006.50,1017.00,984.50,957.50,985.60,1005.00,1025.25,1007.54
"....Marinduque","Ammophos (16-20-0)",1260.00,1275.00,1265.00,1265.00,1265.00,1265.00,1159.00,1000.00,1150.00,1150.00,1150.00,1150.00,1196.17
"....Marinduque","Ammosul (21-0-0)",785.00,785.00,785.00,785.00,775.00,785.00,719.00,620.00,676.25,685.00,685.00,685.00,730.85
"....Marinduque","Complete (14-14-14)",1270.00,1270.00,1270.00,1270.00,1270.00,1270.00,1222.00,1150.00,1100.00,1100.00,1100.00,1100.00,1199.33
"....Marinduque","Urea (45-0-0)",1025.00,1025.00,1025.00,1025.40,1025.00,1025.00,1075.00,1150.00,1050.00,1050.00,1050.00,1050.00,1047.95
"....Occidental Mindoro","Ammophos (16-20-0)",1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,925.00,900.00,900.00,900.00,900.00,960.42
"....Occidental Mindoro","Ammosul (21-0-0)",800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,787.50,600.00,600.00,600.00,748.96
"....Occidental Mindoro","Complete (14-14-14)",1060.00,1100.00,1100.00,1100.00,1100.00,1075.00,1000.00,1000.00,1050.00,1100.00,1100.00,1100.00,1073.75
"....Occidental Mindoro","Urea (45-0-0)",1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1060.00,925.00,900.00,900.00,900.00,900.00,965.42
