Crop,Geolocation,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2013 Annual,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2014 Annual,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2015 Annual,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2016 Annual,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2017 Annual,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2018 Annual,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2019 Annual,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2020 Annual,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2021 Annual,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2022 Annual,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 Annual
Banana Cavendish,..REGION VIII (EASTERN VISAYAS),52.66,39.01,38.1,21.56,151.33,15.67,20.75,15.45,18.46,70.32,16.1,22.15,18.78,22.85,79.87,17.7,24.24,22.04,24.4,88.38,18.6,25.13,20.15,27.15,91.03,16.74,23.75,20.32,22.54,83.35,19.65,26.32,21.31,24.43,91.71,15.88,22.51,21.28,25.25,84.92,17.21,23.0,21.3,26.18,87.69,16.43,21.66,22.74,25.99,86.82,16.0,17.6,54.09,26.24,113.93
Banana Cavendish,..REGION IX (ZAMBOANGA PENINSULA),33.38,153.73,72.1,340.61,599.82,107.98,88.74,66.62,55.54,318.88,43.18,61.95,52.22,42.62,199.97,29.69,56.26,44.03,39.73,169.71,28.86,59.3,46.98,36.68,171.82,29.92,58.9,47.32,34.13,170.27,28.24,57.18,45.96,35.06,166.44,27.61,57.86,47.08,36.11,168.66,28.37,60.42,44.51,34.86,168.16,29.08,62.87,42.21,35.6,169.76,25.22,52.59,43.73,32.06,153.6
Banana Cavendish,..REGION X (NORTHERN MINDANAO),273505.0,242719.6,287216.5,316870.0,1120311.1,281118.0,247370.5,297180.95,322955.75,1148625.2,287679.0,262485.0,312733.72,337695.0,1200592.72,302290.0,273850.0,319773.0,341706.0,1237619.0,340056.42,282736.0,327108.0,346500.0,1296400.42,346752.6,285613.75,331189.57,350206.55,1313762.47,350764.12,289601.51,335244.54,354057.88,1329668.05,350823.26,288139.64,340636.71,358197.95,1337797.56,368697.39,293648.79,342009.7,360262.37,1364618.25,368935.6,295226.89,342762.27,361088.59,1368013.35,364124.46,293152.95,345813.71,363484.18,1366575.3
Banana Cavendish,..REGION XI (DAVAO REGION),552541.62,654405.68,560715.88,624657.0,2392320.18,612448.61,669022.53,621471.35,634797.07,2537739.56,649377.63,670858.41,642069.3,642413.89,2604719.23,615654.11,691711.02,670724.3,656654.56,2634744.0,622418.38,699315.25,679792.04,654234.58,2655760.25,629301.1,711323.1,686132.38,657809.98,2684566.56,629476.43,705086.74,657328.71,603926.74,2595818.63,600223.72,679605.58,631105.46,594589.99,2505524.75,578559.49,680316.49,621697.54,586757.66,2467331.18,562989.7,673689.27,608871.38,590448.04,2435998.39,555415.61,671268.4,609093.94,589856.48,2425634.43
Banana Cavendish,..REGION XII (SOCCSKSARGEN),125564.44,134777.56,131885.65,128390.54,520618.19,124234.96,136194.09,131921.81,129782.02,522132.88,120424.31,128721.95,120142.28,115459.18,484747.72,123471.86,124527.84,109776.85,123366.27,481142.82,134856.64,161442.4,145759.17,136073.15,578131.36,143108.92,167538.81,154789.97,142897.44,608335.14,141717.73,158090.31,154837.01,142995.16,597640.21,134378.9,150116.1,143143.01,144085.85,571723.86,140401.28,152826.73,153682.19,134290.57,581200.77,142450.08,162257.76,149341.18,131871.17,585920.18,138522.24,159205.38,151959.26,131656.37,581343.25
Banana Cavendish,..REGION XIII (CARAGA),7352.39,10189.18,13731.8,13979.3,45252.67,13926.75,18027.32,22413.36,22567.63,76935.05,24829.77,20718.25,24297.37,25059.54,94904.92,24402.84,23914.24,26730.28,25195.73,100243.09,25063.03,24177.88,29035.87,27327.24,105604.02,26502.27,25083.66,22992.77,23765.93,98344.63,24951.59,27284.45,25826.15,27932.09,105994.28,28110.48,31555.54,31512.25,30354.08,121532.35,26525.04,25412.86,13562.37,12873.82,78374.09,12040.05,28811.01,7975.85,6797.8,55624.71,14420.38,15168.97,17628.31,21073.71,68291.37
Banana Cavendish,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),40256.82,22772.1,38824.0,45023.2,146876.12,45768.95,25911.7,40767.0,46023.9,158471.55,46522.0,25323.05,45889.0,58683.83,176417.88,45635.0,24667.8,48181.5,61196.91,179681.21,48335.0,25417.96,49943.56,72998.15,196694.67,47089.0,28868.1,49789.0,81697.83,207443.93,47350.0,28968.2,49995.0,83928.83,210242.03,43820.0,26998.18,47773.9,80303.84,198895.92,41950.54,26234.18,47165.36,79033.9,194383.98,42875.44,26348.2,47290.36,79041.29,195555.29,42894.65,26348.29,47340.55,79047.87,195631.36
Banana Lakatan,PHILIPPINES,206653.36,257330.35,248319.69,217728.27,930031.68,207004.84,263851.01,255438.14,228562.24,954856.23,208418.43,255653.22,267180.87,239243.3,970495.82,189074.04,225096.73,245138.01,239206.14,898514.92,188325.06,227193.27,249843.79,245620.99,910983.12,192987.58,232196.23,258074.2,246283.67,929541.69,188038.37,216679.22,255710.19,249289.42,909717.19,187485.01,216913.08,263324.53,257792.84,925515.46,193950.94,234438.92,270134.26,263010.51,961534.63,192067.71,237113.11,273321.38,264087.17,966589.37,195408.55,227320.61,266425.02,257446.84,946601.02
Banana Lakatan,..CORDILLERA ADMINISTRATIVE REGION (CAR),927.3,1610.82,1625.41,665.8,4829.33,628.5,1499.37,1871.18,604.54,4603.59,659.6,1574.92,1663.37,559.75,4457.64,649.42,1606.24,1722.36,298.15,4276.17,421.16,443.51,1793.01,304.63,2962.31,444.28,451.74,1585.85,254.63,2736.5,310.25,271.34,1937.63,271.41,2790.63,363.7,350.72,2298.13,252.56,3265.11,348.12,309.94,2161.78,208.24,3028.08,335.86,339.88,2097.53,215.05,2988.32,333.14,338.91,1936.74,196.8,2805.59
Banana Lakatan,..REGION I (ILOCOS REGION),265.41,180.93,135.58,362.35,944.27,253.34,176.96,134.37,343.29,907.96,237.5,168.72,131.34,316.41,853.97,222.67,161.78,136.11,286.49,807.05,193.73,186.93,140.45,297.85,818.96,197.86,193.17,140.19,205.48,736.71,179.37,174.25,136.27,195.28,685.18,182.71,172.65,141.75,203.26,700.37,181.38,157.24,140.67,193.4,672.68,175.81,160.09,148.37,199.77,684.04,183.71,157.06,129.48,178.21,648.46
Banana Lakatan,..REGION II (CAGAYAN VALLEY),7111.1,19609.02,9568.63,4391.67,40680.42,6090.85,18090.45,8904.17,5700.91,38786.38,6456.39,17869.31,8580.85,3977.46,36884.01,4574.07,17009.6,8824.76,3810.56,34218.99,2636.63,13636.96,8140.19,4636.38,29050.16,3535.58,17024.57,8710.48,3129.45,32400.08,2273.37,14062.53,7961.1,3047.88,27344.88,2770.71,15601.52,9085.26,3470.11,30927.6,2802.84,15166.92,9539.85,4052.21,31561.82,2942.03,14869.11,9735.81,4299.03,31845.98,3159.87,15655.95,9792.81,4246.92,32855.55
Banana Lakatan,..REGION III (CENTRAL LUZON),3211.03,4451.44,2397.88,3108.72,13169.07,3047.51,4442.83,2493.2,3459.03,13442.57,3264.06,4554.19,2874.12,3281.85,13974.22,2762.8,4195.25,2738.86,3247.59,12944.5,2837.34,4225.31,2854.13,3305.07,13221.85,2899.27,4258.68,2818.48,3126.76,13103.19,2978.76,4059.63,2594.32,2656.68,12289.39,2390.78,3437.74,2591.41,2466.37,10886.3,2354.03,3296.47,2490.27,2307.56,10448.33,2026.18,3138.66,2521.03,2343.62,10029.49,1967.52,3087.74,2355.65,2112.99,9523.9
Banana Lakatan,..REGION IV-A (CALABARZON),1280.86,3142.59,3120.09,928.24,8471.78,1194.89,3049.61,2824.08,386.1,7454.68,571.88,2327.35,2951.64,484.49,6335.36,1054.01,2204.26,3087.28,501.42,6846.97,1060.08,2185.77,3416.88,469.59,7132.31,984.4,2163.09,3568.32,486.47,7202.28,939.45,1905.68,3354.98,529.58,6729.69,805.3,1669.91,3239.13,441.42,6155.77,731.69,1737.43,3161.15,484.99,6115.26,906.3,1931.74,3540.61,474.46,6853.11,872.34,1781.83,3847.48,507.38,7009.03
Banana Lakatan,..MIMAROPA REGION,5315.64,7789.37,9494.59,6576.7,29176.3,4275.67,7370.67,9921.68,6997.06,28565.08,4417.65,8697.35,10337.94,7664.65,31117.59,2163.8,3267.97,4882.34,4188.79,14502.9,1992.95,2924.05,4310.74,4474.96,13702.7,2074.94,3079.05,5080.51,5627.3,15861.8,2069.28,3023.06,5969.87,5884.86,16947.07,1424.94,1828.17,3312.75,2349.33,8915.19,1659.88,1854.47,4258.34,2334.94,10107.63,898.56,1631.26,7276.26,1830.51,11636.59,945.09,1992.63,7761.23,1429.1,12128.06
Banana Lakatan,..REGION V (BICOL REGION),785.47,1133.61,1266.58,741.22,3926.88,790.01,1154.82,1045.07,654.15,3644.05,705.67,1116.07,1141.36,708.84,3671.94,701.11,1028.91,1200.8,708.53,3639.35,581.44,828.29,1180.46,682.26,3272.45,549.74,919.98,1394.72,716.58,3581.02,527.82,819.46,1494.17,715.71,3557.16,370.9,717.99,1526.75,595.5,3211.14,178.51,478.43,943.43,637.63,2238.0,230.25,697.21,1379.7,650.8,2957.96,144.53,808.86,874.37,629.61,2457.36
Banana Lakatan,..REGION VI (WESTERN VISAYAS),5860.63,4019.63,3123.74,6692.11,19696.11,4059.07,3361.5,2848.71,6974.76,17244.04,4550.65,3701.37,3063.2,7172.84,18488.06,4709.39,3769.3,3218.31,7444.54,19141.54,4865.91,4008.9,3309.77,7564.39,19748.97,4991.34,4134.17,3389.57,7927.59,20442.67,5157.76,4227.76,3604.73,8222.88,21213.13,5281.71,4581.51,3778.27,9154.85,22796.34,5534.19,5032.05,4082.15,9430.07,24078.46,5678.05,5376.19,4207.86,8503.94,23766.03,5660.34,5479.25,3972.98,7978.05,23090.62
Banana Lakatan,..REGION VII (CENTRAL VISAYAS),4939.2,4636.29,4064.34,3870.78,17510.61,4933.01,4708.0,3758.08,4471.4,17870.49,5006.41,4746.87,4050.89,4972.8,18776.97,5230.08,3511.08,3281.4,5738.91,17761.47,5689.63,3916.39,3706.94,5917.27,19230.23,5676.39,3829.85,3741.01,5827.55,19074.8,5423.94,3507.18,3215.05,5378.48,17524.65,5083.48,3420.56,3414.88,6016.22,17935.14,5251.37,3503.19,3625.94,5751.24,18131.74,2384.89,2262.59,2944.22,6572.54,14164.24,4249.8,3165.75,3934.02,7101.2,18450.77
Banana Lakatan,..REGION VIII (EASTERN VISAYAS),4013.43,5265.25,3218.25,2125.02,14621.95,3140.61,4658.26,2871.48,1924.94,12595.29,3198.14,4447.59,2877.67,2068.75,12592.15,2879.55,3778.49,2932.39,2129.71,11720.14,2912.22,3738.58,2983.1,2105.8,11739.71,2872.22,3591.76,2939.11,2053.97,11457.06,2685.77,3536.78,3052.44,2021.86,11296.85,2584.46,3438.42,3031.06,2078.68,11132.61,2757.49,3451.92,3194.13,2027.08,11430.61,2716.74,3536.44,3190.06,2142.71,11585.95,3017.6,3889.26,3389.53,2266.72,12563.11
Banana Lakatan,..REGION IX (ZAMBOANGA PENINSULA),7927.45,14056.53,13509.21,20250.53,55743.73,8567.7,18100.32,14494.92,20558.88,61721.82,8794.61,18343.71,15605.25,21012.69,63756.26,8469.68,17258.44,15310.95,20870.57,61909.66,8271.99,17524.95,16058.79,20225.72,62081.45,8321.16,17667.82,16658.05,19692.17,62339.2,8084.41,17080.51,17689.0,19989.12,62843.04,7971.96,16336.29,18801.26,21710.93,64820.44,8036.63,17880.51,19888.12,22459.01,68264.27,9414.08,18712.26,19365.51,23278.33,70770.18,8426.13,20254.92,18300.76,21640.93,68622.74
Banana Lakatan,..REGION X (NORTHERN MINDANAO),48253.0,41416.99,46297.02,31345.6,167312.61,48476.05,42774.59,46484.1,31163.45,168898.19,48490.91,41317.5,47356.65,31102.15,168267.21,48763.67,40213.25,47573.41,31839.24,168389.57,48505.49,41289.72,47726.35,32217.46,169739.02,49036.49,41643.04,48231.41,32628.4,171539.34,49495.53,40291.97,48991.89,33966.2,172745.59,49588.49,41838.83,50607.18,35097.16,177131.66,51233.95,45764.77,52120.69,35202.34,184321.75,51721.77,47515.29,51217.73,37650.77,188105.56,54872.5,43695.57,50581.87,36236.36,185386.3
Banana Lakatan,..REGION XI (DAVAO REGION),37274.43,58251.22,55272.22,53101.57,203899.44,41578.64,61152.62,59933.51,56125.93,218790.7,42995.97,61996.02,62472.97,57730.64,225195.6,39910.94,61334.36,62425.72,59104.52,222775.54,40851.77,61914.99,63134.35,59640.75,225541.86,43603.85,59145.61,65270.2,59016.91,227036.57,42227.17,51470.35,63397.97,59490.6,216586.09,42826.93,51532.57,64857.3,60907.72,220124.52,45148.56,53589.46,66817.59,61535.15,227090.76,43788.84,52310.22,67441.16,61182.59,224722.8,42727.25,51625.2,66581.34,60096.87,221030.65
Banana Lakatan,..REGION XII (SOCCSKSARGEN),48282.3,62142.27,66410.08,52488.86,229323.51,47258.19,61923.45,66561.65,55085.08,230828.37,45970.88,54199.7,67742.36,55614.07,223527.01,33581.15,34724.09,50167.82,55502.03,173975.09,33695.08,39069.39,53050.72,54939.7,180754.89,33206.13,40090.73,54361.5,56491.82,184150.19,31285.06,38595.72,52187.25,55338.54,177406.57,30957.12,37804.43,53942.16,59818.55,182522.26,31928.82,47686.31,54845.89,61700.23,196161.25,32946.72,49778.27,54123.75,60419.17,197267.91,32902.53,48620.96,52565.1,58250.69,192339.28
Banana Lakatan,..REGION XIII (CARAGA),3539.3,4978.5,5618.92,4146.3,18283.02,3602.74,5515.81,6271.34,4707.72,20097.61,3322.7,5342.66,6100.62,4726.98,19492.97,3800.69,5792.91,7042.69,5198.41,21834.7,3875.35,5931.91,7239.96,4853.17,21900.39,4277.53,6012.47,6915.57,4628.6,21834.17,3995.3,5268.55,6726.46,5263.18,21253.49,4122.78,5478.66,7807.33,5175.37,22584.14,4168.81,5463.77,7498.88,6255.83,23387.29,3789.29,5466.08,8459.88,5854.49,23569.74,3848.73,4521.48,4680.76,5820.95,18871.93
Banana Lakatan,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),27666.83,24645.89,23197.15,26932.8,102442.67,29108.05,25871.75,25020.6,29405.0,109405.4,29775.4,25249.89,30230.64,37848.93,123104.86,29601.0,25240.8,30592.81,38336.67,123771.28,29934.29,25367.63,30797.95,43986.0,130085.87,30316.39,27990.5,33269.23,44470.0,136046.12,30405.12,28384.46,33397.05,46317.15,138503.78,30759.05,28703.1,34889.92,48054.81,142406.88,31634.68,29066.06,35365.38,48430.59,144496.71,32112.35,29387.83,35671.89,48469.39,145641.46,32097.48,22245.24,35720.88,48754.06,138817.66
Banana Latundan,PHILIPPINES,2014807.92,2272484.45,2173964.99,2185159.24,8646416.59,2053417.21,2303481.91,2271141.69,2256816.58,8884857.39,2136397.76,2299720.76,2348490.51,2299320.0,9083929.03,2048132.9,2215370.09,2304240.27,2335940.87,8903684.14,2100630.48,2272835.64,2383720.94,2409147.25,9166334.31,138837.82,153299.98,161876.31,167295.09,621309.21,134291.41,138907.27,158121.78,163949.32,595269.78,132074.56,142145.38,157475.27,164361.36,596056.56,135224.23,144765.19,159573.06,165978.26,605540.73,124769.69,141132.62,163004.76,162367.08,591274.16,126583.42,145648.85,164430.55,156766.3,593429.12
Banana Latundan,..CORDILLERA ADMINISTRATIVE REGION (CAR),1594.55,1904.82,1717.0,800.8,6017.17,1231.85,1784.91,2111.75,779.59,5908.1,1300.77,1932.39,2028.28,737.1,5998.53,1299.92,2006.48,2303.76,429.6,6039.75,918.87,617.12,2339.77,489.67,4365.43,1100.34,798.73,2332.84,384.33,4616.24,666.62,410.65,2208.98,416.25,3702.49,827.6,569.62,2881.54,418.86,4697.62,882.86,576.66,3058.55,525.24,5043.31,911.33,643.15,3102.92,539.2,5196.6,967.92,555.21,2904.89,517.97,4945.99
Banana Latundan,..REGION I (ILOCOS REGION),5521.71,2833.79,2485.64,4754.14,15595.28,5421.19,2949.91,2495.29,4810.18,15676.57,5614.4,3008.7,2503.19,4387.18,15513.47,5394.17,2773.35,2604.18,4139.47,14911.17,4959.68,2861.39,2724.22,4502.35,15047.63,5266.56,2995.23,2790.91,3802.14,14854.84,4993.46,3000.16,2757.14,3945.52,14696.28,5126.16,3124.51,2876.04,4087.62,15214.33,5333.12,3206.62,3053.12,3889.66,15482.52,5684.32,3425.06,3188.51,3975.17,16273.06,6043.13,3588.47,3029.03,3467.95,16128.58
Banana Latundan,..REGION II (CAGAYAN VALLEY),8134.01,29714.46,10232.12,5536.44,53617.02,7253.44,28264.31,10693.72,6610.34,52821.81,7975.76,29379.0,10615.21,5557.22,53527.2,6302.25,29791.4,10977.09,4685.15,51755.89,3528.48,21991.63,9751.34,5533.04,40804.49,4373.83,30221.5,10736.2,3088.19,48419.72,2933.9,24393.16,9852.42,3146.31,40325.79,3499.69,27581.27,11084.61,3233.51,45399.08,3498.5,27688.39,11505.78,3605.09,46297.75,3659.39,27585.92,11735.46,3885.43,46866.2,3848.93,30380.93,11586.45,3909.73,49726.04
Banana Latundan,..REGION III (CENTRAL LUZON),2138.3,3305.43,1920.85,2274.93,9639.51,1971.62,3076.78,2001.35,2460.35,9510.1,2042.73,3134.38,2308.67,2158.81,9644.59,1727.54,2470.19,2160.34,2230.45,8588.52,1669.93,2584.45,2145.98,2324.79,8725.15,1765.32,2699.72,2176.56,2493.87,9135.47,1950.55,2770.86,2449.82,2696.13,9867.35,2471.28,3033.83,2497.7,2544.75,10547.56,2422.56,2870.72,2253.27,2333.17,9879.72,2996.17,3106.97,2466.04,2103.13,10672.31,2677.57,3241.36,2299.64,2156.25,10374.82
Banana Latundan,..REGION IV-A (CALABARZON),2888.25,8225.66,7577.28,4299.35,22990.54,2672.15,8275.91,6816.62,3359.84,21124.52,2095.81,6773.2,7144.42,4523.6,20537.03,2515.68,7759.57,8235.52,4793.55,23304.32,2013.51,7849.87,8975.41,5108.06,23946.85,1921.88,7817.17,9004.15,5866.99,24610.19,2001.75,8183.05,7799.79,5646.27,23630.87,1441.09,7636.89,7328.22,4295.39,20701.59,1227.07,7451.14,5700.56,4218.17,18596.94,1267.06,7778.29,6413.03,3745.11,19203.49,1167.52,7034.44,6650.83,3964.29,18817.08
Banana Latundan,..MIMAROPA REGION,6728.0,6053.86,7526.47,5174.86,25483.19,5899.82,5796.0,7858.37,5510.84,25065.03,6142.02,6265.65,8217.57,6014.78,26640.02,4613.01,3805.9,4971.21,4856.39,18246.51,4534.27,3358.92,4536.15,5110.18,17539.52,4722.8,3521.66,5497.32,5493.49,19235.27,4748.77,3352.96,6079.83,5600.76,19782.32,3701.76,1981.2,2602.1,2796.03,11081.09,4600.0,2003.3,5198.78,2687.17,14489.25,3228.72,1653.77,8977.79,1817.64,15677.92,3246.44,2408.48,8755.26,1968.8,16378.98
Banana Latundan,..REGION V (BICOL REGION),3569.69,3502.7,6663.81,3363.75,17099.95,3636.97,3617.5,5108.61,2942.4,15305.48,3196.39,3599.14,5753.19,3134.87,15683.59,3171.78,3460.09,5865.3,3267.14,15764.32,2657.28,3178.54,5689.28,3370.2,14895.3,2733.86,3505.54,6370.57,3606.69,16216.66,2705.4,3267.68,6261.43,3465.19,15699.7,2064.34,2686.47,5606.96,2762.29,13120.06,1199.46,2385.04,4594.12,3447.32,11625.94,1488.44,2810.68,6438.3,3369.0,14106.42,1298.69,3190.12,5756.79,3147.38,13392.98
Banana Latundan,..REGION VI (WESTERN VISAYAS),16031.43,12105.29,8227.87,13906.45,50271.04,10884.84,8321.74,7799.98,14196.51,41203.07,11888.02,9194.03,7862.85,14491.28,43436.18,11005.16,8978.02,7941.64,14884.86,42809.68,11243.26,9234.0,8244.03,15583.49,44304.78,11480.75,8816.91,8655.89,16039.96,44993.51,10615.19,8480.02,8697.19,16518.66,44311.06,9605.51,7810.67,8489.49,16999.26,42904.93,10410.03,8283.77,9006.63,17141.54,44841.98,10183.22,8146.02,8899.54,15783.54,43012.32,9798.68,8718.47,9173.89,16184.21,43875.25
Banana Latundan,..REGION VII (CENTRAL VISAYAS),12200.58,8256.62,5025.18,8174.93,33657.31,11841.32,8247.02,5155.63,9575.05,34819.02,12128.05,8034.8,5416.24,10009.06,35588.15,12248.29,6066.08,5011.66,11339.75,34665.78,12791.76,6509.68,5602.58,11697.13,36601.15,12933.5,6535.94,5819.67,12326.17,37615.28,13264.65,5816.45,5207.68,11792.63,36081.41,15165.22,5680.41,5470.37,12762.68,39078.68,16891.84,6028.69,5778.35,13475.61,42174.49,8008.31,4386.47,5299.7,13244.05,30938.53,11970.85,6222.04,6181.11,13638.13,38012.13
Banana Latundan,..REGION VIII (EASTERN VISAYAS),7159.46,9067.4,8709.4,5457.28,30393.54,4952.63,6906.82,6781.09,5188.66,23829.2,5108.37,6850.75,7137.01,5449.33,24545.46,5219.87,6386.98,7263.61,5829.76,24700.22,5333.57,6565.19,7448.86,5910.1,25257.72,5110.76,6571.06,7657.08,5939.87,25278.77,5287.27,6316.92,7457.62,5794.04,24855.84,4577.01,5942.03,6878.22,5846.54,23243.81,4903.21,6034.44,7171.12,5679.85,23788.63,3791.26,4900.09,6107.19,5320.94,20119.49,4308.6,5480.85,6592.18,5574.63,21956.25
Banana Latundan,..REGION IX (ZAMBOANGA PENINSULA),5331.85,7247.27,8974.1,14614.6,36167.83,5447.92,8212.51,9323.33,14910.13,37893.89,5647.71,8204.06,9670.33,14812.53,38334.63,5011.51,7299.13,9123.84,14430.83,35865.31,5144.42,8065.0,9544.04,13634.81,36388.27,4943.75,8535.16,9536.66,13411.57,36427.14,4551.63,8014.37,9390.54,13600.28,35556.83,4339.07,8011.92,9206.24,13798.48,35355.71,4394.15,8818.92,9381.22,14062.1,36656.39,4626.34,9188.85,9587.88,14696.26,38099.33,4125.33,9809.92,11718.51,13547.67,39201.43
Banana Latundan,..REGION X (NORTHERN MINDANAO),30768.1,24160.58,33577.62,39101.29,127607.59,34861.78,26933.52,35225.69,39138.13,136159.12,34958.65,24931.37,35685.91,38498.55,134074.48,33858.16,23519.78,35359.19,38737.21,131474.34,35251.83,24368.69,36832.1,38822.96,135275.58,34819.48,24140.27,36311.78,38704.4,133975.93,33947.36,21859.04,36223.7,35320.67,127350.77,31825.38,21675.78,36966.81,35714.34,126182.31,32013.34,22055.62,36451.11,35178.24,125698.31,31839.63,21883.13,35285.61,35060.05,124068.42,31541.95,20971.63,33257.11,30550.31,116321.0
Banana Latundan,..REGION XI (DAVAO REGION),13143.84,14258.17,18064.04,18463.9,63929.95,13787.48,15056.08,19021.39,19521.11,67386.06,14452.36,15294.6,19566.98,19851.14,69165.08,14461.9,15097.85,19545.39,20146.15,69251.29,14789.48,15345.5,19945.19,21470.35,71550.52,15119.16,17616.53,20277.87,23453.15,76466.71,14846.31,14861.54,20190.58,23864.65,73763.08,16304.84,16943.86,22429.12,25877.86,81555.68,17106.62,17585.12,23073.47,26008.8,83774.01,18029.68,17000.09,22960.49,25563.94,83554.2,16919.8,17782.18,23110.14,24949.14,82761.26
Banana Latundan,..REGION XII (SOCCSKSARGEN),15688.3,11731.96,15624.81,15087.01,58132.08,16751.8,12232.09,15998.93,15552.86,60535.68,16838.63,11569.8,15999.39,15785.63,60193.45,15850.29,8159.37,14756.75,16898.16,55664.57,16504.08,9184.34,15481.82,17299.47,58469.71,16963.14,9508.02,16222.89,17765.38,60459.44,16256.28,8814.46,15758.52,16968.56,57797.82,15428.46,8543.57,14642.45,17986.72,56601.2,14486.32,8193.39,14769.95,17629.67,55079.33,14570.24,7928.92,13178.55,17631.0,53308.71,14250.07,8054.14,13395.27,17084.54,52784.02
Banana Latundan,..REGION XIII (CARAGA),8612.53,10039.3,10341.27,9292.5,38285.6,8142.81,10646.66,11765.37,10986.04,41540.88,8627.92,11228.38,11814.68,10656.49,42327.47,10094.11,12049.84,12983.62,10927.82,46055.39,10474.28,13317.9,13980.28,12380.82,50153.28,9874.36,13014.29,13149.45,10825.9,46864.0,9812.83,12281.83,12520.51,11066.08,45681.26,9880.23,13765.36,13259.53,11106.36,48011.48,9920.88,14285.19,13262.84,11938.48,49407.39,8489.42,13310.84,13992.1,11472.5,47264.86,8462.08,11197.17,12991.35,11917.52,44568.12
Banana Latundan,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),5439.78,6593.4,5181.6,3546.3,20761.08,5537.18,6946.1,5304.46,3722.5,21510.24,5719.63,6655.99,5209.38,3882.0,21467.0,5677.0,6493.16,5189.22,3886.74,21246.12,5687.65,6640.81,5232.65,4068.15,21629.26,5708.32,7002.25,5336.46,4093.0,22140.03,5709.45,7084.12,5266.03,4107.32,22166.92,5816.9,7157.98,5255.87,4130.67,22361.42,5934.26,7298.17,5314.19,4158.16,22704.78,5996.16,7384.37,5371.65,4160.11,22912.29,5955.87,7013.43,7028.1,4187.79,24185.19
Banana Saba,PHILIPPINES,585884.14,712152.4,660479.62,598592.73,2557108.89,554807.81,712147.36,672045.4,628494.39,2567494.95,581826.72,707633.66,701233.59,636435.12,2627129.1,538108.2,638442.29,653861.77,643786.86,2474199.11,535106.89,642895.66,667723.52,674284.2,2520010.28,549663.88,685020.2,689647.48,668769.87,2593101.44,528676.48,628490.77,678396.06,677242.31,2512805.62,519829.75,630138.49,671217.48,683596.44,2504782.16,532957.23,636035.48,674320.8,700238.82,2543552.32,505222.51,638536.0,690825.48,687725.6,2522309.6,520514.52,660998.98,685195.62,687894.28,2554603.39
Banana Saba,..CORDILLERA ADMINISTRATIVE REGION (CAR),1944.49,2955.06,2335.56,2317.7,9552.81,1633.97,2942.94,2568.54,1768.3,8913.75,1954.5,3150.42,2481.85,1627.96,9214.74,1931.22,3171.87,2710.7,1030.54,8844.33,1687.29,2061.44,2698.9,1110.33,7557.96,1805.38,2204.81,2642.3,918.44,7570.93,1533.6,1919.56,2574.05,966.08,6993.28,1693.89,2001.42,2931.76,966.44,7593.51,1712.41,2110.89,3077.94,1012.6,7913.84,1820.97,2378.78,3216.37,1037.06,8453.18,1786.57,2366.52,2688.04,953.31,7794.43
Banana Saba,..REGION I (ILOCOS REGION),4780.22,5987.22,4267.85,6416.65,21451.93,4829.69,6380.43,4339.7,6294.87,21844.69,4774.27,6300.22,4383.45,6065.43,21523.36,4617.96,5957.83,4620.8,5432.05,20628.65,4474.85,6160.85,4812.83,5740.81,21189.34,4675.34,6404.11,5031.65,5163.77,21274.87,4315.66,6181.44,5071.55,5478.38,21047.04,4499.05,6607.79,5422.46,5733.74,22263.04,4689.28,6730.47,5760.24,5546.95,22726.95,4984.29,7223.34,6065.92,5771.45,24045.0,5316.46,7190.38,5827.76,5214.47,23549.06
Banana Saba,..REGION II (CAGAYAN VALLEY),34014.34,129644.14,65339.17,26502.37,255500.01,31183.62,132728.32,71236.42,39069.45,274217.81,41912.03,138541.68,75491.43,27963.84,283908.98,22042.11,132583.55,77376.6,26650.56,258652.81,14592.23,111984.84,69944.67,33113.9,229635.64,23807.92,138231.18,75713.45,19520.69,257273.24,11112.2,111606.86,68768.24,19401.21,210888.51,16225.98,132280.95,74257.29,20209.11,242973.33,16075.82,128001.93,76049.59,22541.3,242668.64,16082.8,130417.09,77442.31,23155.63,247097.83,16173.41,135010.94,77278.22,22943.11,251405.68
