Geolocation,Commodity,Period,Stocks,Volume,Area Harvested,Self-Sufficiency Ratio,Import-Dependency Ratio,SU Gross Supply,UT Consumable,Farmgate Price,Wholesale Price,Retail Price,CPI All Income,CPI Bottom 30,Net Returns,Inflation Rate,NCR RPI
bangsamoro autonomous region in muslim mindanao (barmm),Rice,2016,2819.688461538462,544486.4,212927.0,95.0,5.0,15332,11133,20.1625,36.576666666666675,37.455000000000005,89.76226327666666,89.47924171416668,14853.0,1.23,110.51666666666667
philippines,Corn,2016,513.7215384615386,7218816.55,2484301.3,90.0,10.0,8412,2325,11.931666666666667,23.489166666666673,25.43166666666666,92.46900539166667,91.002068705,12678.0,1.23,110.51666666666667
cordillera administrative region (car),Corn,2016,513.7215384615386,199355.0,61045.0,90.0,10.0,8412,2325,12.024545454545455,,21.405833333333334,84.26296591166667,91.93164152083335,0.0,1.23,110.51666666666667
region i (ilocos region),Corn,2016,513.7215384615386,508024.0,89769.0,90.0,10.0,8412,2325,12.854545454545455,,,87.93770430416669,86.49006533416667,0.0,1.23,110.51666666666667
region ii (cagayan valley),Corn,2016,513.7215384615386,1678812.77,414449.3,90.0,10.0,8412,2325,12.002727272727272,,20.144166666666667,76.53273282500001,87.67520317500002,4705.0,1.23,110.51666666666667
region iii (central luzon),Corn,2016,513.7215384615386,259546.28,47382.0,90.0,10.0,8412,2325,10.015000000000002,,,87.28854951749999,91.32163416666667,0.0,1.23,110.51666666666667
region iv-a (calabarzon),Corn,2016,513.7215384615386,96821.0,35084.0,90.0,10.0,8412,2325,13.186363636363637,,35.050000000000004,97.60875907,93.91711571166668,0.0,1.23,110.51666666666667
mimaropa region (mimaropa),Corn,2016,513.7215384615386,114604.0,30510.0,90.0,10.0,8412,2325,13.070833333333331,,43.56666666666666,95.89237401500002,94.81848190750001,30526.0,1.23,110.51666666666667
region v (bicol region),Corn,2016,513.7215384615386,259375.0,107544.0,90.0,10.0,8412,2325,12.338750000000001,,,90.14486211666667,83.59227971083332,15613.0,1.23,110.51666666666667
region vi (western visayas),Corn,2016,513.7215384615386,283671.45,107091.0,90.0,10.0,8412,2325,12.364166666666668,,,95.27392847166668,94.28203683499999,9327.0,1.23,110.51666666666667
region vii (central visayas),Corn,2016,513.7215384615386,156729.0,174267.0,90.0,10.0,8412,2325,11.944166666666666,23.41,,97.70994461916665,95.37076722500001,0.0,1.23,110.51666666666667
